rank,name,state,ownership_type,owner_or_parent,principals,succession_signal,founded_year,fleet_size_est,employees_est,service_types,districts_or_customers,recent_news,website,confidence,fit_notes
1480,A Plus School Bus,FL,independent,independent,Maria Borberg (Office Manager); A Plus Bus USA Corp (DOT #2064580),low,2011,5-10,5,"[""school"", ""charter"", ""field-trip"", ""sports"", ""church""]",Miami-Dade County Public Schools (school board-approved vendor); private and public schools for field trips; church and sports charters,Markets 25+ years of student transportation experience as a Miami-Dade school board-approved partner; remains a small Doral-based charter/field-trip-focused operator.,https://aplusbus.com/,medium,"Very small Miami-Dade field-trip/charter operator rather than a route contractor; limited fleet and revenue (~$223K) make it sub-scale for Summit. Miami-Dade approval has some value, but tuck-in attractiveness is low absent district route contracts."
1481,Prigge's School Buses Bus Info,WI,family-owned,independent,Dennis Prigge (Owner); founded by John and Lucille Prigge with sons Jerry and Jim; now 3rd/4th generation Prigge family,high,1949,15-25,25,"[""school""]",Sheboygan Area School District (primary contract since 1950); Central High School,"Multi-generational (75+ year) family operator running the SASD contract since 1950; in-house factory-trained mechanics; quiet, stable single-district contractor with no M&A signals located.",https://www.priggebus.com (also vscdiscovery.wixsite.com/prigges),medium,"Textbook family-succession tuck-in: 4th-generation owner, single anchor contract with Sheboygan Area School District since 1950, factory-trained in-house maintenance. Small (~$1.4M revenue, ~25 staff) but high-quality reputation makes it an attractive small bolt-on to a WI platform footprint."
1482,Caring Heart Transport LLC,WI,independent,independent,Stephen J Hanekamp (Manager),low,2021,5-10,10,"[""NEMT"", ""special-needs"", ""wheelchair"", ""senior""]","Approved provider with area hospitals; Lakeland Care Inc. (Family Care/IRIS) network; service area across Rock, Walworth, Green, and Dane counties (Janesville, Madison, Beloit, Monroe, etc.)",Recent 2021 start-up; operates 24/7 NEMT/wheelchair service across four southern WI counties; listed on Lakeland Care and 211 Wisconsin provider directories.,https://chtrides.com/,medium,Pure NEMT/wheelchair operator — not a school-bus contractor. Off-strategy for Summit's core student-transportation platform; only a fit if Summit were to push into SPED/Medicaid wheelchair adjacencies. Young (2021) founder with no succession signal; exclude as a tuck-in target.
1485,Wide Area Trnsprtn SVC Inc,MN,independent,independent,"[""Joseph Tsehai""]",unknown,,,4,"[""school (Type III)"", ""special-needs"", ""NEMT"", ""parts delivery""]","[""Twin Cities / Minneapolis-St Paul metro school districts (southern suburbs)"", ""Inver Grove Heights area""]",Self-described as one of Twin Cities' leading Type III student transportation companies; GPS+camera-equipped fleet; no M&A news.,https://www.watsico.com,medium,"Possible micro tuck-in: independent Type III (small-vehicle) student transport in MN. Very small (4 employees, ~$1.4M rev) — likely below Summit's typical threshold but could be roll-up of small MN Type III operators. Expansion state for Summit."
1486,Yamila School Bus LLC,FL,family-owned,independent,"[""Yamila Quiala""]",unknown,,,20,"[""school""]","[""Service zips 34953, 34984, 34986, 34987 (Port St. Lucie / Stuart area per company site)""]",No M&A news. Small family-run operator; contact yamilaquiala1969@gmail.com.,https://www.yamilaschoolbus.com,low,Possible micro tuck-in: small family-owned FL school bus operator (~20 employees). Note: registered Hialeah but actually serves Port St. Lucie/Stuart area. Sub-scale for Summit but in target FL geography.
1489,Malliette Bus Co Inc,WI,family-owned,independent,"[""Timothy K. Grosskurth (General Manager)"", ""Carmen Grosskurth (Manager, Accounting & Office)""]",medium,1971,35,35,"[""school"", ""activity/charter""]","[""Antigo Unified School District (sole contractor)"", ""Langlade County activity trips""]","Became sole contractor for Antigo Unified School District after acquiring all buses from Mid Wisconsin Bus Company and hiring most of its drivers, producing ~100% year-over-year growth (Langlade County EDC profile). Established 1971 in Antigo, WI.",,medium,"Solid small WI family-owned tuck-in candidate: sole contractor for Antigo USD, demonstrated consolidator behavior (rolled up Mid Wisconsin Bus). Grosskurth family ownership and ~50+ year history suggest possible succession opportunity. Geography is northern WI rural, outside Summit's core states but consistent with Beacon/Riteway competition."
1491,Tomahawk Bus Svc Inc,WI,independent,independent,[],unknown,,22,25,"[""school"", ""charter/for-hire passenger""]","[""School District of Tomahawk (contracted bus service provider)""]","FMCSA SAFER snapshot (USDOT 437593, MC-1752971) shows 22 power units and 25 drivers, satisfactory safety rating (non-ratable since 2006, last reviewed Oct 2024), zero crashes/inspections in trailing 24 months. Tomahawk School District confirms bus passes are issued through 'Tomahawk Bus Company office' at (715) 453-3000 - the district's de facto contractor. Note: source data address (307 W Evans St, Rice Lake) is incorrect; FMCSA and the district list 1801 Kaphaem Rd, Tomahawk, WI 54487.",,medium,Clean small WI single-district operator (~22 buses) with established Tomahawk USD relationship and clean safety record. Reasonable bolt-on at single-yard scale; principals/owners not yet identified online so succession read-through is unknown. Address in source list appears mislabeled - re-verify HQ before outreach.
1492,Pitts Bus Svc Inc,WI,family-owned,independent,"[""Ted Paque (Manager)""]",unknown,,20,20,"[""school""]","[""School District of Crandon (Forest County, WI) area""]","No M&A or notable news located. Maintains a Yelp business listing (updated 2026) for Crandon, WI at 11491 County Road M. No website found; operates as a small rural single-yard school-bus contractor in Forest County.",,low,"Very small rural northern-WI school-bus operator (~20 employees, manager Ted Paque). Likely single-district Crandon USD contract. Sub-scale tuck-in candidate; only attractive if combined with neighboring WI operators (e.g. Malliette in Antigo, Tomahawk Bus Service) to build a northern-WI regional cluster. Verify ownership and fleet via WI DOT/DPI school bus records before outreach."
1495,Defea School Bus Garage,SD,family-owned,independent (DeFea family),"Pat DeFea (Owner); Steph DeFea (co-owner, wife); Mark DeFea (brother)",high,1964,15,19,"[""school"", ""activity/charter""]","Milbank School District (primary, 489 sq mi, 10 routes, ~1,000 daily miles); also Grant-Deuel School District","2022 (Valley Express): Pat DeFea profiled - has run business since buying from Henze family in 1999 (Henzes founded 1964); signed 5-year district contract; explicitly stated preference for LOCAL ownership if he sells, noting larger companies acquiring similar operators in the region.",https://defea-transportation.hub.biz/,high,"Clean family-owned tuck-in profile: 60-yr operating history, 15-bus fleet, two stable SD district contracts, owner near retirement age with a public five-year contract horizon. CAVEAT: owner publicly voiced preference for LOCAL successor over large consolidators - Summit would need careful relationship-led approach. Small scale (~$764K revenue) and remote SD geography limit strategic value vs. relationship/optionality play."
1497,Dworak Motor Co Inc,WI,family-owned,independent (Dworak family),Jeff Kassner (President per source data); Jeff Dworak and Leonard Dworak referenced as Dworak family principals in business records,high,1926,,18,"[""school"", ""charter""]",Historically Kewaunee School District since 1939 - did NOT bid on most recent contract; district awarded to Lamers Bus Lines. Likely no longer a school-district contractor.,~2024-2025: Dworak Bus Service opted not to submit a bid for Kewaunee SD transportation contract after 86 years (since 1939) of service; district awarded contract to Lamers Bus Lines and plans new district-owned bus facility. USDOT #366969 is now INACTIVE per SAFER database.,,high,NOT A VIABLE TUCK-IN: Century-old family operator that effectively exited school-bus contracting - did not bid on its anchor Kewaunee SD contract and FMCSA USDOT registration is now INACTIVE. Business appears wound down or transitioning out of student transportation. De-prioritize.
1498,Smith Matthew Bus Svc,DE,family-owned,independent,Matthew Smith (Owner),medium,1988,<15,18,"school bus, charter, intercity/rural bus","Local Dover, DE area schools (likely Capital School District area); not confirmed contractor of record","No M&A or major news found; long-running small family operator at 206 N Queen St, Dover since 1988",,medium,"Small single-yard family operator in Delaware (a Summit/Durham legacy state). Sub-scale ($0.7M rev, ~18 emp) but DE footprint and apparent owner-operator status could make this a low-cost tuck-in or driver/route add-on. Succession potential given founder-name brand and 35+ year tenure."
1500,Branstiter Bus Svc,WI,family-owned,independent,Bob Branstiter (President); Branstiter Brothers Inc affiliated entity at same address,high,1990,<15,~9-20,"school bus (primary contractor to Greenwood, WI area)","Likely Greenwood School District (Clark County, WI) — local rural district; note: Greenwood SD 50 in search results is a South Carolina district, not the WI customer","No M&A news; ~35-year-old small family operator d/b/a Greenwood Bus Service at 408 S Main St, Greenwood, WI 54437",,medium,"Classic small rural Wisconsin family operator (Branstiter family, multiple decades). Sub-scale (~9-20 emp, $0.7M rev) but high succession-signal given founder-age timeline and family-name brand. WI is an active small-operator consolidation state; would be a very small bolt-on to an existing WI route cluster."
1502,Cumberland Bus Svc Inc,WI,family-owned,independent,John Peichel (Owner; contact johnpeichel@yahoo.com),high,1999,15-25 buses (estimate from emp count and training capacity),20-34,"school bus transportation; also operates a CDL/school-bus driver training program (Class B theory + BTW, passenger service, school bus theory/range/road)","Cumberland School District (Cumberland, WI 54829) likely primary; rural northwest WI",No M&A activity found; FMCSA DOT 1417934 active; owner-operated small WI contractor,,medium,"Independent owner-operator (John Peichel) in rural NW Wisconsin with a built-in driver-training pipeline — unusual and valuable asset for a platform fighting driver shortage. Small scale (~$0.7-1.3M rev) but high succession signal (single-owner, 25+ years), and the in-house CDL training program is genuinely differentiated for a Summit tuck-in."
1503,Teton Bus Svc Inc,MT,independent,independent,[],unknown,,,14,"[""school""]","[""Choteau School District (Teton County, MT)""]",Choteau school board held special meeting in June 2024 reportedly to discuss Teton Bus Service route bus contract; no public M&A or ownership news identified.,,low,"Tiny single-yard rural Montana contractor (~14 employees, est. ~$0.6M revenue) serving Choteau schools. Out of Summit's core geography and likely too small to be a meaningful tuck-in absent a regional rollup play."
