a_rank,bench_rank,track,company,state,hq,composite,data_confidence,fleet_buses,drivers,founded,fmcsa_source,usdot,fmcsa_status,safety_rating,ownership_type,owner_or_parent,principals,succession_signal,service_types,districts,recent_news,website,size_tier,da_employees,da_revenue_est,fit_notes,_sf,_su,_geo,_ind,_oh,_rel,rank_old
1084,,A,Cities Best Transportation,MN,"Crystal, MN",58.5,0.8,3,2,2013,census(high),2424166,I,,family-owned,independent,"[""Timothy J Herlofsky (CEO)"", ""Trisha Goad-Herlofsky""]",unknown,"[""special_needs"", ""NEMT"", ""senior_transport""]","[""Twin Cities special-needs/senior riders""]","FMCSA carrier DOT# 2424166 registered 2013; SAFER shows operating authority as inactive in recent records, suggesting a downsized or paused common-carrier footprint. No M&A.",,single,10,839000,"Not a school-bus operator. Family-run special-needs van service in Crystal, MN with inactive FMCSA authority; too small and not in school-bus core for Summit tuck-in.",40,40,70,100,50,75,1411
1085,,A,Trans Assist Of America LLC,AZ,"Scottsdale, AZ",58.5,0.8,1,4,2015,census(medium),2833824,I,,independent,independent,Nannette F Anderson (Manager),unknown,"[""non-emergency/disability transport""]",No Maricopa County school district contracts identified; not listed among AZ DES recognized DD transport providers in search results.,None found.,,single,3,226000,"Not a fit. 3-employee LLC operating from a Scottsdale suite address; appears to be NEMT/DD transport micro-operator, not a school-bus contractor. Sub-scale for Summit's tuck-in strategy.",40,40,70,100,50,75,2832
1086,,A,Amazon Limousine,VA,"Fairfax, VA",58.5,0.8,1,1,2013,census(medium),2453923,I,,independent,independent,"[""Sam Ghannan (President)""]",unknown,"[""limousine"", ""car service""]",[],No M&A or notable news; small Fairfax-based limo/car service.,,single,3,225000,"Not a school-bus operator. Tiny limousine service (3 employees) in Fairfax VA, no school district contracts or special-needs school transport identified. Not a viable Summit tuck-in target.",40,40,70,100,50,75,2837
1087,,A,Day & Nite Limos & Sedans,TX,"Dallas, TX",58.5,0.8,2,1,2017,census(medium),3042424,I,,independent,independent,"[""Cynthia Nealy (Owner)""]",unknown,"[""limousine"", ""sedan service""]",[],Public records list Cynthia Nealy as owner/investor of Day & Nite Transportation Service in Dallas; no M&A news or corporate website located.,,single,2,168000,Not a school-bus operator. Micro Dallas limo/sedan operator (~2 employees). Not a viable Summit tuck-in target.,40,40,70,100,50,75,3336
1088,,A,Milestone Nemt LLC,NC,"Elizabeth City, NC",58.5,0.8,2,1,2018,census(high),3192220,I,,independent,independent,"[""Maxine Randolph (Manager)""]",unknown,"[""NEMT"", ""Transportation Broker (NPI 1598317307)""]",[],"Registered as a Transportation Broker (NPI 1598317307) at 113 Cayuse Way, Elizabeth City, NC; phone (252) 327-8221. No M&A, growth, or school-district contract activity found.",,single,2,117000,"Confirmed NEMT/medical-transport broker, NOT a school-bus operator. Sole-proprietor scale (~$117K revenue). Outside Summit's school-bus / SPED tuck-in profile.",40,40,70,100,50,75,3656
1089,,A,Kosti School Transportation,NJ,,58.5,0.2,,,,none,,,,unknown,independent,[],unknown,"[""school""]","[""Listed in NJ DOE 2020-21 School Bus Contractor Codes as registered NJ school bus contractor (contractor code 4848, county code 13 = Morris County)""]",No recent M&A or news. Appears in NJ DOE registered contractor list as 'Kosti Transportation' / 'Kosti School Transportation'.,,single,3,263000,"Confirmed as a registered NJ school bus contractor but extremely small (3 employees, ~$263K revenue). Likely 1-3 bus owner-operator. Too small to be a meaningful tuck-in on its own; could only be relevant as a route-acquisition bolt-on within an existing NJ footprint.",50,50,70,60,50,90,1984
1090,,A,Cicada Bus Svc Inc,DE,"Milford, DE",58.5,0.2,,,,none,,,,family-owned,independent,"[""Mark Davis""]",unknown,"[""school bus""]","[""Likely Sussex/Kent County DE district subcontract (not on Milford SD's 9-contractor list)""]","Operates at 228 Cicada Lane, Milford DE 19963 (302-422-9510), categorized School Bus Transportation Services on Google Maps. NOT named on Milford School District's current contractor bus list (which has 9 contractors). Likely serves Capital, Lake Forest, or Cape Henlopen districts as a small contractor.",,single,6,245000,"Independent family-owned DE school-bus contractor; very small (~6 employees, est. 2-3 buses). Below Summit's typical tuck-in scale but Delaware fits Summit footprint; could be a roll-up add-on if multiple DE micro-contractors are acquired together.",50,50,30,100,50,90,3182
1091,,A,Spartan Bus Line LLC,MT,"Baker, MT",58.0,0.8,3,7,2003,census(high),1118986,I,,independent,independent,[],unknown,"[""school"", ""private passenger""]","[""Likely Baker Public Schools (Baker, MT; mascot 'Spartans')""]","PPP loan from Dacotah Bank, retained 6 jobs (2020-2021). FMCSA-registered since 2003 as interstate passenger carrier. No M&A activity.",,single,4,168000,Sub-scale (~6 buses) rural eastern MT operator; too small to be a meaningful tuck-in on its own and far outside Summit's core footprint. Possible micro-roll only.,40,60,30,100,50,90,3189
1092,,A,Jewelride LLC,IL,"Edwardsville, IL",58.0,0.6,,,2019,none,,,,independent,independent,[],unknown,"[""NEMT"", ""paratransit"", ""wheelchair transport"", ""McKinney-Vento student transport"", ""youth transport""]","[""19+ counties across Illinois Metro East and Eastern Missouri"", ""Madison County IL"", ""St. Louis MO region"", ""McKinney-Vento program students""]",JewelRide announced a 10-van fleet expansion (year not stated on page); operates out of Edwardsville IL and St. Louis MO offices.,https://jewelride.com/,single,9,696000,"Marginal fit: primarily NEMT/paratransit, but does run McKinney-Vento student door-to-door routes in IL/MO. Very small (~9 employees, ~10 vans); could be a micro tuck-in to add SPED/McKinney-Vento capability in Metro East, but scale is sub-platform.",50,25,70,100,50,75,1585
1093,,A,Icare Transportation SVC LLC,SC,"Bluffton, SC",58.0,0.6,,,2022,none,,,,family-owned,independent (veteran-owned),"Irving J. Blakes (Manager/Founder, USMC veteran)",low,"[""NEMT"", ""wheelchair"", ""adult day center"", ""behavioral health"", ""airport transport""]","Lowcountry SC (Bluffton/Beaufort County area); adult day centers, medical appointments, behavioral health clients (no school district contracts identified)",Founded 2022; certified by SC Public Service Commission and Office of Regulatory Staff; veteran-owned (USMC),https://www.icaretransportsc.com,single,8,666000,NOT a school-bus or SPED contractor. Adult NEMT focused on disabled/elderly riders; only 3 years old and ~8 staff. Out of scope for Summit student-transportation tuck-in.,50,25,70,100,50,75,1922
1094,,A,Lucy Transport LLC,VA,"Springfield, VA",58.0,0.6,,,2019,none,,,,independent,independent,[],unknown,"[""NEMT"", ""non-emergency medical transport""]","[""MassHealth/MedicaidVA-style NEMT customers (suspected)""]",Operates as a Virginia NEMT provider (Lucy Transport LLC / related Lucy Transportation Inc). FMCSA-registered carrier (USDOT 3833136). Website lucytransportationgov.com currently down for maintenance. No evidence of school-bus / SPED district contracts.,https://lucytransportationgov.com/,single,7,525000,"NEMT operator, not a school-bus contractor. Sub-scale (~$525K rev, 7 employees). Outside Summit's yellow-bus tuck-in profile; not a fit.",50,25,70,100,50,75,2104
1095,,A,Premier Handicap & Trnsprtn,MI,"Southfield, MI",58.0,0.6,,,2025,none,,,,independent,independent,[],unknown,"[""NEMT"", ""handicap/wheelchair transport""]","[""Medicaid / disability clients in Oakland County, MI""]",Premier Handicap Services LLC registered with FMCSA (USDOT 4150981); described as 'locally owned non-emergency transportation company' for special-needs riders. No M&A activity identified.,http://www.premierhandicapservices.com/,single,6,413000,"NEMT/handicap transport only; no school district or SPED routing contracts identified. Small (~6 employees, ~$413K revenue) and outside Summit's K-12 yellow-bus / contract school transportation focus.",50,25,70,100,50,75,2155
1096,,A,Cali Assisted Transportation,CA,"Whittier, CA",58.0,0.6,,,2022,none,,,,independent,independent,"[""Rosemary Sanchez (Manager)""]",unknown,"[""school transportation"", ""disabled/special-needs transport"", ""ambulance/NEMT-style""]",Whittier/SE Los Angeles County area; listed in disability-transportation directories; potential SPED rides but no confirmed district contract,"Small Whittier-based operator with Facebook presence; no M&A, ownership change, or material growth news identified",https://www.facebook.com/people/Cali-Assisted-Transportation-Inc/100067730055777/,single,5,367000,"Tiny SPED/NEMT-style operator in LA County; may move a handful of special-needs students but is sub-scale for a Summit tuck-in (5 employees, ~$367K rev)",50,25,70,100,50,75,2186
1097,,A,Advance Wheelchair Transport,NC,"Flat Rock, NC",58.0,0.6,,,2019,none,,,,independent,independent,Anthony Baxter Strickland (Owner/Authorized Official),medium,"[""NEMT"", ""wheelchair-van"", ""taxi""]",Western NC / Henderson County area; Medicaid NEMT; no confirmed school district contracts,NPI registered January 2019. Operates as 'Advance Wheelchair Transportation and Taxi Services' per Facebook. No M&A activity identified.,https://www.facebook.com/advancetransportservice/,single,6,378000,"Independent micro NEMT (6 employees, ~$378K) — owner age 60s suggests possible succession path, but vehicle count and service mix (NEMT/taxi, not school bus/SPED routing) make this sub-scale for Summit tuck-in.",50,25,70,100,50,75,3076
1098,,A,Wings-Halos Non-Emergency,NC,"Hillsborough, NC",58.0,0.6,,,2019,none,,,,family-owned,independent,"[""Cherlyn L. Cash (Owner/Operator)""]",unknown,"[""non-emergency medical transport"", ""wheelchair-accessible van""]","[""Orange County NC area private-pay/Medicaid riders""]","Active NPI-registered NEMT van provider in Hillsborough, NC (NPI 1154987196); no M&A activity identified.",https://www.facebook.com/100064861454955/,single,5,292000,Owner-operator NEMT van shop with no confirmed school-bus or SPED route work. Too small and outside Summit's school-transportation focus.,50,25,70,100,50,75,3079
1099,,A,Archangels Wheelchair Trnsprt,CA,"Placentia, CA",58.0,0.6,,,2019,none,,,,independent,independent,[],low,"[""NEMT"", ""wheelchair-accessible transport"", ""hospital transfers"", ""same-day/special-event transport""]","[""Orange County, parts of LA County and Riverside County private-pay/NEMT riders; no school district contracts identified""]",Established 2019; expanded service area to LA and Riverside Counties; no M&A or school-transport contracts.,https://www.archangelswheelchairtransport.com/,single,2,150000,"Not a fit. Recently founded (2019) 2-person NEMT/wheelchair micro-operator in Orange County CA; no school-bus or SPED district routes, no tuck-in scale.",50,25,70,100,50,75,3697
1100,,A,Motor Carriage Svc,OR,"Beaverton, OR",58.0,0.4,,,2024,none,,,,independent,independent,"[""Shawn Spence (Owner)""]",unknown,"[""general transportation/trucking""]",[],"Per RocketReach (2026), Motor Carriage Service LLC is a small Beaverton, OR transportation/trucking entity with ~1 employee and ~$200K revenue; no school-district contracts surfaced.",,single,4,286000,"Not a credible Summit tuck-in: micro-operator (<5 employees, ~$285K rev) with no evidence of school-bus or special-needs student transport contracts; appears to be a general motor-carrier sole proprietorship. Pass.",50,25,70,100,50,75,2328
1101,,A,Mark Yarton Svc Inc,NJ,"Franklin, NJ",58.0,0.4,,,2023,none,,,,family-owned,independent,Mark Yarton (President),unknown,"[""possible special-needs/NEMT or contract transport""]",,"No M&A, contract, or news coverage found. Sussex County, NJ small business with no website.",,single,3,204000,"Owner-named single-truck operator (3 employees, ~$204K) in Sussex County, NJ. Too small and undocumented to be a viable Summit tuck-in; likely not a yellow-bus contractor.",50,25,70,100,50,75,2944
1102,,A,Texas Accessibility Speclsts,TX,"Stephenville, TX",58.0,0.4,,,2023,none,,,,independent,independent,[],unknown,"[""special-needs"", ""NEMT"", ""ADA-paratransit""]",[],"No news identified; listed on Yellow Pages under Special Needs Transportation / Disability Services at 150 N Harbin Dr, Stephenville TX (phone discrepancy: (817) 217-2992 on YP vs (254) 968-3490 in source data). Note: 'Texas Accessibility Specialists' is also the name of an unrelated TDLR-registered building plan review firm (tx-access.com) - this transport entity is distinct.",,single,3,155000,"Sub-scale (3 employees, ~$155K rev) special-needs/disability transport. No evidence of a school district yellow-bus route contract. Too small to be a Summit tuck-in; potential SPED-route capacity only if larger than disclosed.",50,25,70,100,50,75,3004
1103,,A,Valentin Beianu Special Needs,WA,"Vancouver, WA",58.0,0.4,,,2022,none,,,,family-owned,independent,"[""Valentin Beianu (Owner)""]",unknown,"[""special-needs/NEMT""]",[],"No standalone web footprint; ESD 112 (Vancouver/SW Washington) handles specialized student transport for ~20 districts, suggesting Beianu likely operates as a subcontracted special-needs driver/van service rather than a prime school-bus contractor.",,single,9,510000,"Owner-operator scale (9 employees, ~$510K rev). Likely sub to ESD 112 or private special-ed routes via van — too small and too narrow for Summit tuck-in.",50,25,70,100,50,75,3072
1104,,A,Ride By Your Side LLC,OK,"Tulsa, OK",57.0,1.0,2,2,2020,census(high),3410616,A,,independent,independent,"[""Marlyshia M. Hill""]",unknown,"[""NEMT"", ""wheelchair van""]",Oklahoma Medicaid non-emergency medical transport patients in Tulsa area; not a school district contractor,LLC formed 1/15/2020; operates as non-emergency medical transport van under USDOT 3410616; no school-bus or M&A activity identified,https://ride-by-your-side.business.site,single,2,92000,"NOT a fit. Single-vehicle NEMT van operator (2 employees, ~$92K revenue), not a school-bus contractor. Too small and wrong service category for Summit tuck-in.",40,25,30,100,100,75,3168
1105,,A,J W Transportation,WI,"Milwaukee, WI",57.0,0.2,,,,none,,,,family-owned,independent,"[""Johnny Walker (Owner)""]",unknown,"[""non-emergency medical"", ""social-needs transport"", ""Title 19 (Medicaid)""]","[""Milwaukee County (Title 19/Medicaid)""]",Listed as a Milwaukee County Title 19 transportation provider serving medical and social needs; no MPS school-bus contract evidence (2026).,,single,4,276000,Micro NEMT/Medicaid transport operator in Milwaukee (a.k.a. Johnny Walker Transportation). Not a school-bus contractor and far below Summit's tuck-in scale; not a target.,50,50,30,100,50,75,2701
